question,choice_A,choice_B,choice_C,choice_D,correct_answer
Which tool would be best to measure the length of a butterfly?,triple beam balance,graduated cylinder,metric ruler,thermometer,C
A car converts gasoline into motion and heat through what?,explosive charisma,cooling,incineration,warming,C
Suppose you are given an EM algorithm that finds maximum likelihood estimates for a model with latent variables. You are asked to modify the algorithm so that it finds MAP estimates instead. Which step or steps do you need to modify?,Expectation,Maximization,No modification necessary,Both,B
To safely conduct an experiment using chemicals, what should students always do?,"Work in large groups.,Wear safety goggles.",Wear short sleeves.,Keep a window open.,B
Suppose your model is overfitting. Which of the following is NOT a valid way to try and reduce the overfitting?,Increase the amount of training data.,Improve the optimisation algorithm being used for error minimisation.,Decrease the model complexity.,Reduce the noise in the training data.,B
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A
Make sure to protect your eyes when working with chemicals because they can easily do what if handled wrong,nothing,fly,run away,spatter upward,D
Alloies are made of multiple metals an example is,brass,steel,aluminum,tin,A
Which technological advancement has done the most to improve the accuracy of weather predictions?,barometer,weather balloons,anemometer,satellites,D
Which of the following needs soil,a planter,a painted house,a bamboo stalk,an industrial plant,C
A stage in the life cycle process includes what aspect?,killing of kin,entity replication,transporting water,reproducing ideas,B
When wheels are squealing on a blacktop, friction,"works against motion,stops motion",removes forward motion,makes things rough,A
adobe works as an electrical,paper weight,pie filler,chiller,anti-conductor,D
 _______________ are used in the positioning process to illustrate differing attributes of a selection of brands.,Product features.,SIC code.,Perceptual maps.,Organizational characteristics.,C
These would likely be broken down and recycled,waste helium,waste hydrogen,pallets,waste oil,C
Induction heating takes place in,conducting but non-magnetic materials.,conducting materials which may be either magnetic or non-magentic materials.,insulating materials.,conducting and magnetic materials.,B
Steel cans are separated from aluminum cans in a recycling center. Which of the following is the best way the recycling center can separate the steel cans from the aluminum cans?,sort the cans by size,put the cans in water,cool the cans to a low temperature,put the cans under an electromagnet,D
Electric drive is becoming more and more popular because,all of below.,it provide smooth and easy control.,it is cheaper in cost.,it is simple and reliable.,A
An example of an electrical circuit could be,Dimming the lights,Driving a car,Drinking water,Riding a bike,A
Which of these might use plants for an energy source,television,station wagon,toy car,action figure,B
The direction of natural processes is from states of,higher order to lower order,lower order to higher order,disorganization to organization,disorder to equilibrium,A
Which of the following goods is likely to provide both the largest total utility and the smallest marginal utility?,Plastic,Automobiles,Computers,Air,D
Which of the following is an n-type semiconductor?,Silicon,Diamond,Silicon carbide,Arsenic-doped silicon,D
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C
What is the main source of raw material for the production of plastics?,clay,plants,petroleum,sand,C
What type of organisational culture is most likely to deliver stability and efficiency?,Task culture,Role culture,Power culture,People culture,B
A living thing requires what to grow?,support,nutriment,toys,plastic,B
A person needing to use a renewable resource would consider all with the exception of,solar energy,water source,hydrocarbon gas mixture,wind power,C
"Consider the following AR(2) process:

yt = 1.5 yt-1 - 0.5 yt-2 + ut

This is a",Stationary process,Unit root process,Explosive process,Stationary and unit root process,B
The K-means algorithm:,Requires the dimension of the feature space to be no bigger than the number of samples,Has the smallest value of the objective function when K = 1,Minimizes the within class variance for a given number of clusters,Converges to the global optimum if and only if the initial means are chosen as some of the samples themselves,C
The concept of V/f control of inverters driving induction motors resuls in,constant torque operation,speed reversal,reduced magnetic loss,hormonic elimination,A
A car running on a resource that will someday cease existing uses,dino remains,water power,solar power,electricity,A
rocks often contain large amounts of,chocolate,shoes,hard shiny alloy,rubber,C
An early-nineteenth-century railroad steam engine is an excellent example of which of the following power systems?,Internal combustion engine,External combustion engine,Rotary engine,Reaction engine,B
Which of the following is NOT a feature of an export processing zone (EPZ)?,Tariff reductions on exports,Raw materials imported duty-free,Exemption from customs duties,Strict pollution regulations,D
What automobile company makes the Sonata?,Toyota,Honda,Subaru,Hyundai,D
How were the first metals worked in South America?,casting,hammering,smelting,all of the above,B
Hard materials such as silicon carbide, used for grinding wheels," are said to be examples of,ionic crystals,network crystals",metallic crystals,molecular crystals,B
if a person remotely controls a machine to do something, which of these is required?,"a thing for information,these are all incorrect",a meal to eat,a floral plant life,B
Which unit of measurement describes an object's length?,meter,kilogram,liter,degree,A
Adam Smith is considering automating his pin factory with the purchase of a $475,000 machine. Shipping and installation would cost $5,"000. Smith has calculated that automation would result in savings of $45,000 a year due to reduced scrap and $65,000 a year due to reduced labor costs. The machine has a useful life of 4 years and falls in the 3-year property class for MACRS depreciation purposes. The estimated final salvage value of the machine is $120,000. The firm's marginal tax rate is 34 percent. The incremental cash outflow at time period 0 is closest to,$280,000.00,$380,000.00,$480,000.00",$580,0,C
Which of the following concepts does NOT form part of the technical discourse on cyber-security?,Business networks,Computer experts,Anti-virus industry,Computer networks,A
Which of the following helped lead to the invention of personal computers?,Internet,keyboard,wireless transmitter,integrated circuit,D
Which one of these characteristics is most commonly associated with the 'rational goal' model of management?,Worker welfare,Health and safety,Interpersonal relationships,Productivity,D
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A
When a car engine is started, gasoline is mixed with air and burned. Heat," sound, and chemical products are released. As the engine operates, which of these remains constant?,the masses of compounds found in the engine,the amount of heat in the engine",the total mass of gasoline,the total amount of energy,D
What two elements do the planning models of Hendrix (2002), Kendall (1999)," Merston (1963) and Parkinson and Ekachai (2006) have in common?,Research and evaluation,Strategy and evaluation",Strategy and implementation,Objectives and implementation,A
In any physical or chemical process, what two quantities are always conserved?,"matter and total energy,light and acoustic energy",density and thermal energy,gravity and potential energy,A
Which will take the longest to reach a boiling point,tea kettle,fish tank,swimming pool,bath tub,C
In electronic communications," ""AM"" stands for","Amp Modification,Amplitude Method",Amplitude Modulation,Ampere Method,C
A manufacturing industry has asked to relocate its plant to your town. From an environmental perspective, which question is least important to ask before deciding whether the industry may move to your town?,"How will the plant affect wildlife of the area?,What kinds of pollution will the plant produce?",What impact will the plant have on the population of the town?,What are the uses of the products that the plant will manufacture?,D
a car engine usually converts gasoline into motion and heat through what?,air,hot peppers,water,fiery reaction,D
Once we use all the aluminum in the world we can get more by,Impossible,Watering the grass,building a dam,Planting soda cans,A
The four Primary Security Principles related to messages are,Confidentiality," Integrity, Non repudiation and Authentication,Confidentiality, Access Control, Integrity, Non repudiation,Authentication, Authorization, Availability, Integrity,Availability, Authorization", Confidentiality, Integrity,A
Where do many of the basic life functions take place in organisms?,brain,cells,heart,nerves,B
A simple machine like a screw will need,a glass of cool water,a person adjusting it,a truck to move it,a wind turbine to function,B
Which is the best example of recycling?,using low energy appliances,washing and reusing plastic cups,using empty milk cartons as flower planters,using aluminum cans to make new products,D
Consider a computer system in which processes can request and release one or more resources. Once a process has been granted a resource, the process has exclusive use of that resource until it is released. If a process requests a resource that is already in use," the process enters a queue for that resource, waiting until the resource is available. Which of the following will NOT deal effectively with the problem of deadlock?,Giving priorities to processes and ordering the wait queues by priority,Having a process request all its required resources when it first begins, and restarting if it cannot obtain them all",Numbering the resources and requiring that processes request resources in order of increasing number,Having processes time out and restart after a random interval of waiting,A
Of the following problems concerning a given undirected graph G, which is currently known to be solvable in polynomial time?,"Finding a longest simple cycle in G,Finding a shortest cycle in G",Finding ALL spanning trees of G,Finding a largest clique in G,B
Alicia has lots of old bicycle parts. She wants to build something new with the parts. What is the first thing Alicia should do?,plan the new item,construct the new item,try out the new item,evaluate the new item,A
Materials like ethanol are used to produce electricity by _____.,hydroelectric power,renewable energy,burning,carbon fixation,C
Which of the following goods is likely to have the most elastic demand curve?,Demand for white Ford minivans,Demand for automobiles,Demand for Ford automobiles,Demand for American-made automobiles,A
What information is needed to calculate the speed of a car?,the road conditions and type of tires,the type of engine and the amount of gas used by the engine,the car length and distance traveled,the distance travel,D
The items listed below were found in a science classroom. * a heart made of plastic with many of its parts labeled * clay formed to look like Earth and other planets * a giant plastic plant cell with removable cell parts These items are all examples of,models,experiments,variables,controls,A
To have a positive impact on the environment,leave lights on,take shorter showers,use Styrofoam plates,take longer showers,B
Research into the total amount of oil available for use around the world can affect what kind of human choice?,where to retire,how to travel to work,what kind of coffee to drink,whether to recycle glass and aluminum,B
As a matters state changes, what will remain constant?,"acceleration resistance,appearance",temperature,mass amount,D
Temperature is the measurement of which type of energy?,chemical,mechanical,potential,kinetic,D
Which of the following statements about East Asia's industrial regions is true?,Japan has a rich natural resource base.,China lacks natural resources but has a massive labor force.,China is industrializing rapidly.,Taiwan lacks industrial enterprise and an educated workforce.,C
The number of output pins in 8085 microprocessors are,27,40,21,19,A
What is a succession plan?,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B
The law of increasing costs is useful in describing,a demand curve.,a marginal benefit curve.,a linear production possibility frontier.,a concave production possibility frontier.,D
Which of these is an example of an endothermic process?,fireworks display,glowing light stick,first-aid instant cold pack,gasoline-burning car engine,C
Which would be the best conditions to drive in?,heavy snowfall + cold weather,blizzard conditions + hurricanes,blizzard conditions + lightning,blizzard conditions + earthquakes,A
New engine technology has helped cars get more mileage per gallon of gas. Since gasoline comes from oil, this technology will affect the world supply of oil by,"increasing the need to search for more oil.,reducing the time it takes for oil to be renewed.",decreasing the amount of oil that exists underground.,extending the time that oil will be available for people to use.,D
What is involved in creating genetically modified bacteria?,allowing them to reproduce freely,changing their food source,using biotechnology techniques,growing them on selected plants,C
Which of these industries is most likely to effect an ecosystem?,food,coal,solar,retail,B
Classes and categories are both part of,distraction,confusion,control,designating,D
All of the following contain metric units of measurement except,g," kg, cg,dL, L, mL,ft, yd, mi,N", J, W,C
Which upgrade to a school will most likely reduce the school's consumption of nonrenewable resources?,solar-collection panels,high-speed computers,wireless Internet connections,biodegradable carpeting,A
Which device converts kinetic energy into electrical energy?,calculator,generator,electric motor,electromagnet,B
A combinational PLD with a fixed AND array and a programmable OR array is called a,PLD,PROM,PAL,PLA,B
For a competitive firm, what is the most important thing to consider in deciding whether to shut down in the short run?,"Compare AVC to MR.,Compare TR to TC.",Do not produce if the TFC is not covered by revenue.,Produce the highest quantity demanded regardless of price.,A
People are developing electric cars that would replace gasoline-burning cars. One major advantage of the electric car is that it,accelerates faster.,causes less pollution.,gives a smoother ride.,needs no battery.,B
if a man's new car can be charged at a charging station, what is this termed?,"all of these,battery operated",getting energy,alternative fueling,A
With the addition of thrusters your forward momentum will,stop,increase,decrease,stall,B
Numerous factor-analytic studies have been performed on tests of motor function (e.g., Purdue Pegboard). In general," these studies have revealed that,two factors, speed and strength, account for most of the common variance,most motor functions are well represented by intelligence",most motor functions correlate highly and form 2 single factor,most motor functions are highly specific,D
The increase in transport ability may increase the available types of,houses,education,internet,grains,D
Moving heavy objects,requires more might,requires little strength,should be easy,should be avoided,A
______ regulation goes further than the ______ that CSOs have with businesses, as it also concerns _______of such processes.,"Legal, Interactions, Mechanics,Civil, Relations, Outcomes,Political, Interactions, Outcomes,Environmental", Relations, Mechanics,B
A person needs to use a raw material to cool an engine, so they might use,"H2O in a jug,fire in a house",salt in a shaker,corn in a stove,A
What are the specific elements of a comprehensive national defence trade control system?,Governments should include in their arms trade rules," laws, penalties for their violation.,Governments should ensure that weapons producers mark their defence items with a unique marking.,Government police and military forces should establish appropriate weapons stockpile security measures and national authorities should collect and destroy old, outdated", and excess weaponry.,All of these options.,D
Coal mines are an essential for what industries?,soft drink manufacturing,textiles,energy generation,powering airplanes,C
Which of the following is generally the first step taken in a large-scale commercial construction venture?,Filing applications for building permits and variances,Ordering the materials needed for the building foundation,Drafting a contract that spells out the details of the building plan,Holding a discussion between the developer and the designer/contractor about the scope of the construction,D
The more that cars are driven, the more that,"daily temps will rise,birds will get sick",water will need purification,food will taste odd,A
Several interchangeable parts are used in the manufacture of automobiles. Some examples of these parts are batteries, windshield wiper blades," spark plugs, and tires. Which of the following is an advantage of interchangeable parts over non-interchangeable parts on automobiles?,Interchangeable parts are generally more expensive than custom-made parts for automobiles.,Interchangeable parts break more often now than in years past on most automobiles.",Interchangeable parts are plentiful for custom-made automobiles.,Interchangeable parts can fit many kinds of automobiles.,D
Which instrument should a student use to measure exactly 10 milliliters (mL) of water?,graduated cylinder,pan balance,ruler,thermometer,A
Which of the following concepts in Robert's Rules of Order requires that motions be dealt with in order of importance?,Order of business,Orders of the day,Order of precedence,Point of order,C
Which feature does not form one of Fayol's 14 principles of management?,Esprit de corps,Initiative,Order,Individualism,D
Which process is most directly related to constructing new land?,erosion,polluting,deposition,weathering,C
All of these are ways to stay safe around electricity except,staying away from power lines.,using cords in good condition.,plugging many appliances into one outlet.,keeping electricity away from water.,C
Which of the following heat exchange processes involves the collision of particles?,insulation,conduction,convection,radiation,B
What will happen to gas once heated?,melting,freezing,ascension,cooling,C
A thousand new trucks are put on the road carrying produce. As a result,distant cities burn down,things stay the same,distant locations build quarries,distant locations have greater produce options,D
the best way to improve production in future yields on the farm is,planting cabbage one year and spinach the next,chemical fertilizers and salts,rotating water schedules daily,over watering each field,A
Which metric unit is used to describe an object's length?,gram (g),milliliter (mL),centimeter (cm),degree Celsius (??C),C
There are specific research designs and strategies used to gain the desired information. From your knowledge about the research designs and strategies, in which case is the MULTIPLE BASELINE DESIGN used?,"when reversal is not possible,when assignment is not possible",when selection is not possible,when there are not enough data available,A
Which of the following energy conversions takes place in a battery-operated flashlight?,electrical -> mechanical -> light,chemical -> mechanical -> light,chemical -> electrical -> light,nuclear -> electrical -> light,C
Which is most likely needed when describing the change in position of an object?,initial speed,direction change,reference point,constant rate,C
Why are alternative fuels being used in some automobiles?,Alternative fuels are at every gas station.,Gasoline comes from a limited resource.,Alternative fuels cause pollution.,Gasoline engines are too expensive to make.,B
which of these would make an ideal object to drive in with a hammer?,an iron nail,a metal nail,a steel nail,all of these,D
What area of psychology focuses on the study of subjective well-being, optimism," and happiness?,psychometrics,human factors psychology",social psychology,positive psychology,D
Which of the following tools is LEAST likely to be used in the process of creating a wood sculpture?,A rasp,A gouge,A lathe,An extruder,D
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A
A shoe manufacturer randomly selects 10% of the production from each shift. Each of these shoes is checked to ensure that it is correctly made. What is this process called?,quality control,product distribution,production selection,research and development,A
Over the lifetime of the planet hydro mechanical wearing will create a,crevasse,ocean,drought,water park,A
Which of the following sorting algorithms has average-case and worst-case running times of O(n log n)?,Bubble sort,Insertion sort,Merge sort,Quicksort,C
Evaporation, condensation," and precipitation are all processes which occur in the,water cycle.,energy cycle.",carbon cycle.,nitrogen cycle.,A
In the 'five forces model', what is the type of competitive activity that exists between organisations?,"The potential for entry into the industry,The threat of substitute products",The power of customers,The level of rivalry,D
Which of the following digital camera settings can be used to keep colors accurate under a variety of light conditions?,White balance,Aperture,ISO speed,Shutter speed,A
What activity is a part of the wheel of organic life?,having sex,black holes,nuclear meltdowns,supernova,A
Genes are a vehicle that can pass,hairstyle,hand size,nail polish,vocabulary,B
This is the process in which offerings move through a sequential, pre-determined pattern of development similar to the biological path that lifeforms follow:,"Diffusion process.,Product lifecycle.",Adoption process.,Service development.,B
Which of the following objective criteria for assessing job performance has/have the greatest validity,Absences,Productivity,Accidents,Salary,B
Which is likely the material used to make an eco-friendly sculpture?,pollutants,animal furs,coke cans,fossil fuels,C
For a technology project, Kyle came up with an idea to build a model bridge. He wants his bridge to span 50 cm and to support a 1 kg object. According to the engineering design process," which of the following should be Kyle's next step?,construct prototypes of different kinds of bridges,research the different designs of bridges",gather the materials needed to build the bridge,make a drawing to show how to build the bridge,B
Nonrenewable sources of energy have limited supplies. Researchers are developing devices that will make renewable energy more available. Which is a source of renewable energy?,coal,gasoline,oil,wind,D
When there are high levels of business failures and unemployment, the business cycle is said to be in which of the following phases?,"Expansion,Peak",Recovery,Trough,D
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D
Which form of migration below are farm workers from another country most likely to be practicing during the year?,Chain migration,Cluster migration,Circular migration,International migration,C
Firms maximize their profits by producing a level of output at which,MC = AFC.,MC = MR.,P = ATC.,MR= AVC.,B
Assessment centers are most commonly used to:,hire and promote clerical workers.,hire and promote managers.,train semi-skilled and skilled workers.,train salespeople.,B
If a living being will make it to adulthood, then the most important thing to it will be,"talons,mining",edibles,hotels,C
In an e-commerce environment that requires that the information technology (IT) system be available on a continuous basis, more emphasis will be placed on which of the following aspects of the planning than in a traditional organization?,"Maintain appropriate written source documents so the data can be re-entered if it is lost or compromised,Maintain redundant systems for instant availability to assure the flow of transactions",Review additional expenses to obtain the required amount of business interruption insurance coverage for the organization,Assure that appropriate data backups are stored in an off-site location,B
What may be likely to distance itself from humans?,meteors,lodgepole pines,snow monkeys,advanced robots,C
During which chemical process is energy absorbed?,iron nails rusting,candles burning,vegetables rotting,plants photosynthesizing,D
Which human activity will help decrease air pollution?,burning crops,driving a hybrid car,burning household garbage,using coal to produce energy,B
 Before beginning the market segmentation process, a firm should:,"Identify bases for segmenting markets.,Forecast total market potential.",Forecast market share.,Select target market segments.,A
As I search among classifications, its groupings of materials," and properties, I may be looking for,hydrogen peroxide,aspirin",vitamins,petroleum jelly.,C
Skidding causes friction, as seen in,"running a track,rolling a car",Nascar races,riding a bike,C
Water can be boiled in a pot over a,ice cube,car tire?,embers,bathtub,C
A bicycle may be used for,rain,cats,coffee grinding,elephants,C
In an intel 8085A, which is the first machine cycle of an instruction?,"An op-code fetch cycle,A memory read cycle",A memory write cycle,An I/O read cycle,A
New technology results in new goods and services, and it can also:,"Lower the quality of existing products.,Lower the available level of customer service.",Reduce prices through new production and distribution methods.,Bring back products that were considered obsolete.,C
The 'post-industrial society' identified by Bell (1973) involved:,the increasing power of trade unions in resolving industrial disputes,"a resurgence of interest in industrial production and manufacturing,a shift towards a service economy", based on knowledge and information,all of the above,C
Which tools are best used to determine the speed of a turtle as it walks along a path?,Meter stick and graduated cylinder,Stopwatch and meter stick,Balance and metric ruler,Balance and stopwatch,B
Encapsulating Security Payload (ESP) belongs to which Internet Security Protocol?,Secure Socket Layer Protocol,Secure IP Protocol,Secure Http Protocol,Transport Layer Security Protocol,B
A navigator may be in charge of,shoveling a sidewalk,clearing a tree,conducting a car,riding a bike,C
Which of the following could be considered a higher-order central place function?,Winn-Dixie grocery store,Mercedes-Benz dealership,Shoe store,Family doctor,B
Temperature is generally proportional to a substance?????s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C
An employee of large manufacturing firm finds the work dull, and pursues the job only for the money. The employee performs minimally," and is not motivated so produce highest quantity or better quality. According to F. Herzberg's two-factor theory, the best way 10 increase this worker's self-motivation would be to,offer a raise and incentive pay for greater productivity,redesign the job to provide a challenge and a sense of accomplishment",increase opportunities for informed social interaction,provide the employee with a job tide carrying greater prestige,B
Sheila has been given 5 minutes to solve 20 arithmetic problems. What is the minimum rate Sheila can work in order to finish in time?,1 problem per minute,2 problems per minute,4 problems per minute,5 problems per minute,C
In a gasoline-powered car, chemical energy from gasoline is transformed to make the car move. The motion of the car is what form of energy?,"radiant energy,nuclear energy",electrical energy,mechanical energy,D
Which of the following methods is/are used for reactive or voltage compensation,shunt capacitor,series capacitor,generation excitation control,all of the above,D
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,220 parts,770 parts,4 parts,110 parts,D
Friction is used to stop what using brakes?,dogs,birds,pickups,car toys,C
A student conducts an experiment using a common but potentially harmful bacteria culture. After working with the bacteria, which is the most important safety practice to follow?,"turn off any electrical equipment,dispose of waste materials",wash hands and tabletops thoroughly,return materials to their proper place,C
What causes a chemical reaction?,mixing and heating edible items,putting water in a bowl,petting a small cat,rolling a ball on a floor,A
An example of an electrical circuit running properly would be,dimming lights,swimming in pools,running outside,riding bikes,A
What temperature is most likely to result in sweat?,0 degrees Celsius,95 degrees Fahrenheit,34 degrees Celsius,33 degrees Celsius,B
Safety glasses should be worn around,water,bleach,air,computers,B
What one of these is not a recognised type of authority?,Executive,Functional,Line management,Supplier,D
Pushing on a pedal is an example of,force,patching,practice,speed,A
Which of the following likely make up a path for electrical energy to travel to a device?,steel or copper,rice or beans,peaches or cream,cotton and solar,A
According to Jean Piaget, egocentrism," animism, and trial-and-error learning are characteristic of the stage of development known as,preoperational,sensorimotor",concrete operational,adolescence,A
A student plans to design a new toothpaste tube that will give the same amount of toothpaste every time it is squeezed. Which should the student do first when designing the new tube?,make a data table of amounts of toothpaste,gather building materials,create models of old toothpaste tubes,draw a few possible solutions,D
Which of the following training methods will develop 2 response most resistant to extinction,Partial reinforcement,Large magnitude reinforcement,Mild punishment for each failure to respond,Reinforcement on every trial,A
Which metalloid is used in solar cells and computer chips?,silicon,silver,arsenic,antimony,A
 _________, such as _______ and _______ are processes by which organisations implement environmental goals," policies and responsibilities and ensure regular auditing and reporting, which go beyond legal compliance.,Environmental management systems, SA8000, EMAS,Social accountability standards, ISO14001, SA8000,Environmental management systems, ISO14001, EMAS,Social accountability standards", EMAS, SA8000,C
Which best represents the path of an impulse over a reflex arc?,receptor," afferent neuron, interneuron, efferent neuron, effector,receptor, efferent neuron, interneuron, afferent neuron, affector,sensory neuron, interneuron, afferent neuron, efferent neuron, effector,effector, sensory neuron, afferent neuron", interneuron, receptor,A
In a recycling program, which materials can be reused many times?,"steel cans,glass bottles",paper containers,plastic containers,B
What is a lever used to move?,planets,small objects,liquids,substantial objects,D
if a toy car needed to be measured for its content capacity, which of these might help?,"an aluminum coated barometer,a metal wind vane",a mercury filled thermometer,a cylinder with standardized markings,D
Which of the following types of tests is designed primarily to help predict how successful a person is likely to be in learning new skills?,Achievement,Aptitude,Interest,Personality,B
The transfer of thermal energy from one object to another is known as,heat.,electricity.,magnetism.,temperature.,A
Which instrument should a student use to best examine bacteria?,telescope,hand lens,microscope,computer probes,C
Mechanical energy is transduced to electrochemical energy by,glandular effectors,muscular effectors,pressure receptors,rods and cones,C
_______________ is the central node of 802.11 wireless operations.,WPA,Access Point,WAP,Access Port,B
A bulldozer alters the area of,skyscrapers,the stock market,air,water,A
Threats to IT systems can be classified in many ways; in this chapter three different categories of threat are listed. According to this classification, which of the following would be classified as a 'Failure'?,"Security systems were not adequate to protect the system against attack from a hacking group, and sensitive data was lost.,There is a programming error in the software which causes the system to perform badly.,All of these options.",The IT system has failed due to a random unexpected event, such as a tsunami which destroys key electronic equipment.,B
At the termination of an extensive training program, management may expect to find chat,"most trainees have improved, but relative standing is generally maintained,primarily low-ability trainees have improved in performance",primarily high-ability trainees have improved in performance,all trainees are at the same performance level,A
Patents, control of resources," economies of scale, and exclusive licenses are,all requirements for price discrimination,required in order for a firm to earn short-run profits",all sources of elastic demand,all barriers to entry,D
A person cuts down a living oak tree. The person burns the wood from the oak tree to boil water. Which sequence correctly orders the energy transformations that occurred from the living tree to the boiling of water?,light energy -> chemical energy -> thermal energy,thermal energy -> chemical energy -> light energy,chemical energy -> mechanical energy -> electrical energy,electrical energy -> mechanical energy -> chemical energy,A
Which of the following is required for both paramagnetism and ferromagnetism?,Strong oxidizing conditions,Low-spin electron configuration,Metallic physical properties,Unpaired electrons,D
A radiator is something that can,recycle water from the toilet,propel a rocket to the moon,keep a room comfortable,filter water from the tap,C
If total product of labor is rising at an increasing rate,,"marginal product of labor is rising.,marginal product of labor is at its minimum.",marginal product of labor is at its maximum.,marginal cost is rising.,A
a closed circuit,is turned off,is uninterrupted,has multiple paths,incomplete,B
A sphere, a cube," and a cylinder, all of equal mass, are released from rest from the top of a short incline. The surface of the incline is extremely slick, so much so that the objects do not rotate when released, but rather slide with negligible friction. Which reaches the base of the incline first?,the sphere,the cube",the cylinder,All reach the base at the same time.,D
What requires nutrients to grow?,birds,metals,computers,dirt,A
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C
Paula determines a property of a marble using a balance and a graduated cylinder. What property is Paula most likely determining by using both tools?,density,length,mass,volume,A
When 100 J are put into a device that puts out 40 J of useful work, the efficiency of the device is,"40%,50%",60%,140%,A
A student gives a red toy car a push on a wooden floor. The student then pushes the same red toy car on a cement floor. Which question is the student most likely investigating?,How fast does a toy car usually roll?,What is the best way to make a toy car roll?,Which surface allows a toy car to roll farther?,Does color have an effect on the distance a toy car rolls?,C
In making a pizza, which process involves a chemical change?,"mixing spices for the sauce,slicing pepperoni for the topping",spreading cheese on the pizza,baking the dough to form the crust,D
The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200," and the marginal product of capital is 50. What should the firm do?,Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.,Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.",Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.,Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.,C
Which material should be used on a bicycle ramp to increase friction?,shiny metal,rough paper,smooth wood,wet plastic,B
Seller has a contract that specifies a delivery point. What kind of a contract is this?,F.A.S. Contract,Destination contract,Shipment contract,F.O.B. Contract,D
"The Federal Automobile Safety Act establishes certain safety and performance standards for all automobiles manufactured in the United States. The Act creates a five-member ""Automobile Commission"" to investigate automobile safety", to make recommendations to Congress for new laws," to make further rules establishing safety and performance standards, and to prosecute violations of the act. The chairman is appointed by the President, two members are selected by the President pro tempore of the Senate, and two members are selected by the Speaker of the House of Representatives. Minicar, Inc., a minor United States car manufacturer, seeks to enjoin enforcement of the Commission's rules""The appropriate decision for the court is to,allow the Commission to continue investigating automobile safety and making recommendations to Congress.,allow the Commission to prosecute violations of the act but not allow it to issue rules.",forbid the Commission to take any action under the act.,order that all members of the Commission be appointed by the President by and with the advice and consent of the Senat,A
Which of these processes is a conversion made by solar panels?,mechanical energy to nuclear energy,thermal energy to chemical energy,kinetic energy to potential energy,radiant energy to electrical energy,D
An organizational psychologist would most likely recommend the use of vestibule training for which of the following jobs?,airline pilot,word processor,salesperson.,clinical psychologist.,A
A car moving with speed v reaches the foot of an incline of angle ??. The car coasts up the incline without using the engine. Neglecting friction and air resistance, which of the following is correct about the magnitude of the car?????s horizontal acceleration ax and vertical acceleration ay?,"ax = 0; ay < g,ax = 0; ay = g",ax < g; ay < g,ax < g; ay = g,C
Which of the following is true about any system that undergoes a reversible thermodynamic process?,There are no changes in the internal energy of the system.,The temperature of the system remains constant during the process.,The entropy of the system and its environment remains unchanged.,The entropy of the system and its environment must increase.,C
Which type of energy is the most environmentally friendly?,Coal,Petroleum,Natural Gas,Sunlight,D
Magnetism,requires full contact between objects,requires objects to touch,can act only on contact,can act without contact between objects,D
Which of the following reinforcement schedules results in maintenance of behavior that is LEAST resistant to extinction?,continuous,fixed ratio,fixed interval,variable ratio,A
Thermal convection involves mainly,radiant energy,fluids,insulators,All of these,B
Suppose we would like to perform clustering on spatial data such as the geometrical locations of houses. We wish to produce clusters of many different sizes and shapes. Which of the following methods is the most appropriate?,Decision Trees,Density-based clustering,Model-based clustering,K-means clustering,B
Which is a source of kinetic energy?,Endurance,Motion,Velocity,Speed,B
 Which of the following refers to unsolicited electronic messages?,Opt-in email.,Consent marketing.,Spam.,Opt-out email.,C
Which of the following changes shape of an object?,spinning liquid mercury,blowing on gases,ripping paper,cutting water,C
Production possibilities frontiers are concave to the origin because,of inefficiencies in the economy.,of opportunity cost.,of the law of increasing costs.,of constant opportunity costs.,C
Many states require vehicles to be examined and to meet safety and pollution standards. What impact might vehicle inspections have on the environment?,The environment will not be polluted.,The environment will become more polluted.,Fewer pollutants will be released by vehicles.,Fewer pollutants will be produced by older vehicles.,C
what causes deposition,electricity conduction,earth displacement,atomic explosions,condensation,B
Which physical property is important to have in a material used in cookware?,poor conductor of heat,good conductor of heat,low flexibility,high flexibility,B
