Q,0,:
Layer 0,Attention mechanism,"('<s>', 3)","('пута', 1)","('sime', 1)","('瀬', 0)","('држави', 0)","('unicí', 0)","('őd', 0)","('invånare', 0)","('férences', 0)","('empre', 0)",Intermediate residual stream,"('sime', 2)","('<s>', 1)","('пута', 1)","('瀬', 0)","('unicí', 0)","('férences', 0)","('gerufen', 0)","('invånare', 0)","('cí', 0)","('ímp', 0)",MLP output,"('<s>', 18)","('bolds', 8)","('archivi', 7)","('ungsseite', 3)","('textt', 2)","('пута', 2)","('sime', 1)","('씨', 1)","('trakten', 0)","('ímp', 0)",Block output,"('<s>', 16)","('sime', 4)","('пута', 3)","('bolds', 3)","('archivi', 1)","('씨', 1)","('ímp', 1)","('trakten', 1)","('瀬', 1)","('textt', 1)"
Layer 1,Attention mechanism,"('$}}%', 1)","('bata', 0)","('%%%%%%%%', 0)","('combatt', 0)","('wan', 0)","('преде', 0)","('nombreux', 0)","('campe', 0)","('compag', 0)","('□', 0)",Intermediate residual stream,"('<s>', 77)","('sdl', 0)","('aterra', 0)","('$}}%', 0)","('ame', 0)","('rame', 0)","('ategory', 0)","('Brainz', 0)","('bject', 0)","('anner', 0)",MLP output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 2,Attention mechanism,"('Kontrola', 4)","('indeed', 2)","('Хронологија', 1)","('aran', 1)","('ale', 1)","('Om', 1)","('ombres', 1)","('Ë', 1)","('ograf', 0)","('incon', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('nobody', 1)","('nahm', 0)","('everybody', 0)","('⁻', 0)","('Hinweis', 0)","('ἱ', 0)","('einges', 0)","('Begriffe', 0)","('Википеди', 0)","('�', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 3,Attention mechanism,"('multicol', 1)","('♯', 1)","('culo', 0)","('Cooper', 0)","('fault', 0)","('Reichs', 0)","('kreis', 0)","('fr', 0)","('fault', 0)","('agh', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('mals', 2)","('<s>', 2)","('getMessage', 1)","('eness', 1)","('Mah', 1)","('gmina', 0)","('Async', 0)","('雲', 0)","('Piet', 0)","('ependant', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 4,Attention mechanism,"('tender', 0)","('aar', 0)","('Wikipédia', 0)","('gresql', 0)","('sight', 0)","('Kontrola', 0)","('intuit', 0)","('iwers', 0)","('ionale', 0)","('∣', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('disambiguation', 1)","('➖', 1)","('apsed', 0)","('prü', 0)","('printStackTrace', 0)","('‐', 0)","('ystycz', 0)","('•', 0)","('uria', 0)","('vy', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 5,Attention mechanism,"('cep', 1)","('arias', 1)","('рій', 0)","('uclide', 0)","('章', 0)","('́', 0)","('ombres', 0)","('joint', 0)","('Gram', 0)","('нец', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('Catalogue', 0)","('against', 0)","('Null', 0)","('net', 0)","('added', 0)","('Wright', 0)","('baum', 0)","('disp', 0)","('…', 0)","('urt', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 6,Attention mechanism,"('FAULT', 2)","('iente', 1)","('<s>', 1)","('estaven', 1)","('rivial', 1)","('rés', 0)","('prés', 0)","('egov', 0)","('Santa', 0)","('riz', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('ppi', 1)","('simple', 0)","('why', 0)","('short', 0)","('speed', 0)","('v', 0)","('CC', 0)","('тво', 0)","('ченко', 0)","('figure', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 7,Attention mechanism,"('ju', 5)","('Tu', 1)","('му', 1)","('ju', 0)","('Tu', 0)","('iber', 0)","('etz', 0)","('Ju', 0)","('bum', 0)","('React', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('at', 2)","('ML', 1)","('opt', 0)","('about', 0)","('Gol', 0)","('ol', 0)","('Gram', 0)","('◄', 0)","('SS', 0)","('alis', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 8,Attention mechanism,"('tring', 3)","('uky', 2)","('❯', 1)","('pher', 1)","('häng', 1)","('рела', 1)","('isz', 0)","('Przyp', 0)","('⟶', 0)","('ándose', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('h', 1)","('un', 1)","('t', 1)","('Pen', 0)","('in', 0)","('sp', 0)","('\n', 0)","('use', 0)","('o', 0)","('oil', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 9,Attention mechanism,"('eil', 2)","('progetti', 0)","('xa', 0)","('objects', 0)","('reib', 0)","('<s>', 0)","('ongodb', 0)","('abase', 0)","('рела', 0)","('lès', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('Zyg', 0)","('dro', 0)","('data', 0)","('experiments', 0)","('ID', 0)","('Ori', 0)","('fiddle', 0)","('戸', 0)","('ade', 0)","('uter', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 10,Attention mechanism,"('ox', 0)","('arna', 0)","('illé', 0)","('ély', 0)","('RewriteRule', 0)","('wr', 0)","('kv', 0)","('ató', 0)","('Rol', 0)","('fah', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('DO', 0)","('Fitz', 0)","('uniform', 0)","('inge', 0)","('ros', 0)","('Dru', 0)","('(', 0)","('[', 0)","('ono', 0)","('ao', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 11,Attention mechanism,"('ock', 5)","(')--(', 2)","('owski', 0)","('iai', 0)","('Herzog', 0)","('KS', 0)","('pop', 0)","('rain', 0)","('bol', 0)","('eld', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('ur', 1)","('worth', 0)","('worth', 0)","('ardi', 0)","('pill', 0)","('purs', 0)","('and', 0)","('нос', 0)","('skip', 0)","('合', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 12,Attention mechanism,"('inks', 0)","('Alan', 0)","('lais', 0)","('terra', 0)","('Kid', 0)","('veg', 0)","('esen', 0)","('enk', 0)","('uil', 0)","('ilen', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('ж', 0)","('bum', 0)","('usk', 0)","('Sax', 0)","('yes', 0)","('res', 0)","('skip', 0)","('ail', 0)","('stag', 0)","('experiment', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 13,Attention mechanism,"('ija', 1)","('Rhein', 1)","('inet', 0)","('ộ', 0)","('ieder', 0)","('asser', 0)","('astro', 0)","('hein', 0)","('Uniti', 0)","('jer', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('proper', 0)","('â', 0)","('t', 0)","('in', 0)","('bridge', 0)","('(@', 0)","('mask', 0)","('res', 0)","('unit', 0)","('middle', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 14,Attention mechanism,"('til', 2)","('kre', 1)","('voyage', 1)","('�', 1)","('cop', 1)","('pil', 0)","('bos', 0)","('add', 0)","('FA', 0)","('leb', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('res', 1)","('expl', 0)","('.', 0)","('gut', 0)","('eth', 0)","('eni', 0)","('battery', 0)","('atter', 0)","('(', 0)","('fuel', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 15,Attention mechanism,"('istra', 1)","('cov', 1)","('Armen', 1)","('Names', 0)","('野', 0)","('Распо', 0)","('Wass', 0)","('�', 0)","('☺', 0)","('names', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('ią', 1)","('星', 0)","('istan', 0)","('complex', 0)","('etes', 0)","('inject', 0)","('ześ', 0)","('›', 0)","('ree', 0)","('â', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 16,Attention mechanism,"('ulla', 1)","('elm', 0)","('ependant', 0)","('duplicate', 0)","('reet', 0)","('ali', 0)","('experimental', 0)","('doc', 0)","('soft', 0)","('lein', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('geprüft', 5)","('guez', 2)","('lês', 2)","('&=\\', 1)","('⁻', 1)","('brary', 0)","('textt', 0)","('≫', 0)","('Unterscheidung', 0)","('prüfe', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 17,Attention mechanism,"('SION', 2)","('Krieg', 0)","('emo', 0)","('veg', 0)","('costa', 0)","('texte', 0)","('тет', 0)","('uro', 0)","('imoine', 0)","('adata', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('.', 1)","('/', 1)","('in', 1)","('\u200b', 1)","('.', 0)","(';', 0)","('(', 0)","('(', 0)","('iner', 0)","('-', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 18,Attention mechanism,"('umen', 2)","('vice', 0)","('verte', 0)","('ovis', 0)","('Sche', 0)","('ród', 0)","('imon', 0)","('NU', 0)","('$?', 0)","('egen', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('estanden', 4)","('\n', 1)","('azon', 0)","('onk', 0)","('oure', 0)","('тет', 0)","('ณ', 0)","('multicol', 0)","('сть', 0)","('ándose', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 19,Attention mechanism,"('COVID', 9)","('cov', 7)","('Wikip', 5)","('cov', 3)","('chten', 1)","('bject', 1)","('idense', 1)","('kot', 1)","('Props', 0)","('Cés', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('textt', 4)","('člán', 3)","('lês', 3)","('prüfe', 2)","('archivi', 2)","('données', 2)","('geprüft', 2)","('prilis', 1)","('ˇ', 1)","('entferne', 1)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 20,Attention mechanism,"('Per', 22)","('Per', 11)","('perfect', 5)","('per', 4)","('Pero', 0)","('вы', 0)","('Perry', 0)","('完', 0)","('edeut', 0)","('per', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('uil', 3)","('Contempor', 1)","('ilon', 1)","('aku', 1)","('Mort', 1)","('Por', 0)","('Roland', 0)","('yter', 0)","('ándose', 0)","('tables', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 21,Attention mechanism,"('Econom', 5)","('favor', 4)","('colored', 1)","('economic', 1)","('Theater', 1)","('eler', 1)","('millimeter', 0)","('color', 0)","('лю', 0)","('comot', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('es', 36)","('oot', 1)","('outer', 0)","('.', 0)","('száz', 0)","('eso', 0)","('Por', 0)","('esa', 0)","('over', 0)","('nest', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 22,Attention mechanism,"('competition', 12)","('Compet', 8)","('compet', 5)","('market', 0)","('Longrightarrow', 0)","('lais', 0)","('oj', 0)","('competed', 0)","('Sib', 0)","('rices', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('alis', 1)","('ing', 1)","('eken', 0)","('Tags', 0)","('Dabei', 0)","('oke', 0)","('Ob', 0)","('isses', 0)","('me', 0)","('ona', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 23,Attention mechanism,"('El', 1)","('assa', 1)","('kn', 0)","('Pers', 0)","('eln', 0)","('elf', 0)","('El', 0)","('Fine', 0)","('anda', 0)","('eben', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('ue', 2)","('ale', 1)","('oke', 1)","('ille', 1)","('oud', 1)","('oot', 1)","('<s>', 0)","('lik', 0)","('сле', 0)","('alet', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 24,Attention mechanism,"('Compet', 16)","('compet', 4)","('Hom', 2)","('hom', 2)","('competition', 2)","('Per', 1)","('Ess', 1)","('�', 0)","('igli', 0)","('rival', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('CD', 1)","('igh', 1)","('mask', 0)","('Tags', 0)","('ğ', 0)","('oug', 0)","('xis', 0)","('erie', 0)","('�', 0)","('schließ', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 25,Attention mechanism,"('https', 1)","('{""', 1)","('"",""', 1)","('�', 1)","('read', 0)","('proble', 0)","('int', 0)","('ents', 0)","('contents', 0)","('-,', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('Dabei', 1)","('(', 1)","('.,', 1)","('Außerdem', 1)","('I', 1)","('oot', 0)","('ild', 0)","('hips', 0)","('←', 0)","('ues', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 26,Attention mechanism,"('firm', 47)","('fir', 31)","('fir', 9)","('Fir', 6)","('industry', 3)","('indust', 0)","('market', 0)","('companies', 0)","('Market', 0)","('company', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('(', 5)","('<s>', 2)","('-', 1)","('--', 1)","('He', 0)","('ized', 0)","('&', 0)","('Se', 0)","('She', 0)","('.', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 27,Attention mechanism,"('yes', 1)","('\t', 1)","('rar', 1)","('pdf', 1)","('Which', 1)","('S', 1)","('.:\u200a', 0)","('There', 0)","('There', 0)","('zar', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('<s>', 99)","('jön', 0)","('abei', 0)","('sjö', 0)","('schließ', 0)","('�', 0)","('oltre', 0)","('findet', 0)","('éné', 0)","('arin', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 28,Attention mechanism,"('Free', 9)","('Product', 4)","('_,', 3)","('Product', 3)","('https', 3)","('Compet', 2)","('П', 2)","('Free', 2)","('Tags', 1)","('Price', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('<s>', 99)","('entferne', 0)","('mathchar', 0)","('beskre', 0)","('ungsseite', 0)","('$}}%', 0)","('Begriffsklär', 0)","('archivi', 0)","('Audiodateien', 0)","('AccessorImpl', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 29,Attention mechanism,"('which', 17)","('Which', 4)","('which', 2)","('quale', 1)","('auté', 1)","('laquelle', 1)","('entry', 1)","('Read', 1)","('idenote', 0)","('read', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('$}}%', 30)","('beskre', 30)","('Хронологија', 1)","('archivi', 0)","('Попис', 0)","('perties', 0)","('Audiodateien', 0)","('Ћ', 0)","('konn', 0)","('ependant', 0)",Block output,"('sierp', 2)","('Unterscheidung', 2)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('Einzeln', 1)","('everybody', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 30,Attention mechanism,"('_', 4)","('__', 4)","('________', 2)","('____', 2)","('________________', 2)","('х', 1)","('Données', 0)","('ÿ', 0)","('ependant', 0)","('powiat', 0)",Intermediate residual stream,"('Unterscheidung', 2)","('sierp', 2)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('Einzeln', 1)","('everybody', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('Љ', 0)","('Ъ', 0)","('Ћ', 0)","('Џ', 0)","('Ё', 0)","('հ', 0)","('Щ', 0)","('գ', 0)","('Մ', 0)","('Հ', 0)",Block output,"('\n', 3)","('</s>', 0)","('A', 0)","('A', 0)","('The', 0)","('1', 0)","('C', 0)","('P', 0)","('(', 0)","('C', 0)"
Layer 31,Attention mechanism,"('sierp', 6)","('Unterscheidung', 6)","('kwiet', 5)","('paździer', 2)","('Hinweis', 2)","('Einzeln', 1)","('фев', 1)","('stycz', 0)","('➖', 0)","('ϊ', 0)",Intermediate residual stream,"('\n', 25)","('A', 2)","('</s>', 2)","('What', 1)","('C', 1)","('The', 1)","('1', 1)","('\\', 0)","('Which', 0)","('L', 0)",MLP output,"('Mark', 0)","('Location', 0)","('Produ', 0)","('Copy', 0)","('Power', 0)","('Short', 0)","('Information', 0)","('Label', 0)","('Single', 0)","('Mobile', 0)",Block output,"('The', 5)","('A', 5)","('What', 3)","('C', 1)","('1', 1)","('E', 1)","('How', 1)","('P', 1)","('This', 1)","('L', 1)"
"
"
Q,2,:
Layer 0,Attention mechanism,"('<s>', 2)","('пута', 1)","('sime', 1)","('ímp', 0)","('월', 0)","('trakten', 0)","('guez', 0)","('瀬', 0)","('invånare', 0)","('empre', 0)",Intermediate residual stream,"('sime', 1)","('<s>', 1)","('пута', 1)","('ímp', 0)","('瀬', 0)","('invånare', 0)","('𝓝', 0)","('trakten', 0)","('ográfica', 0)","('월', 0)",MLP output,"('<s>', 17)","('bolds', 15)","('archivi', 6)","('ungsseite', 3)","('textt', 1)","('sime', 1)","('씨', 0)","('Portail', 0)","('trakten', 0)","('őd', 0)",Block output,"('<s>', 18)","('bolds', 6)","('sime', 3)","('archivi', 3)","('пута', 1)","('trakten', 1)","('textt', 1)","('씨', 1)","('ímp', 0)","('瀬', 0)"
Layer 1,Attention mechanism,"('$}}%', 0)","('bata', 0)","('nombreux', 0)","('campe', 0)","('~[', 0)","('%%%%%%%%', 0)","('wan', 0)","('líder', 0)","('desen', 0)","('combatt', 0)",Intermediate residual stream,"('<s>', 47)","('sdl', 1)","('ategory', 0)","('$}}%', 0)","('aterra', 0)","('ame', 0)","('anner', 0)","('rame', 0)","('bject', 0)","('incie', 0)",MLP output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
